Rank,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
124,Tyreke Evans\evansty01,SG,29,IND,7,141,16.4,0.505,0.318,0.182,2.5,13.7,8.3,21,2.8,3.1,12.3,25.6,,0,0.2,0.3,0.087,,-0.4,2,1.6,0.1
125,Dante Exum\exumda01,PG,23,UTA,7,132,14.1,0.527,0.291,0.473,3.5,10.8,7.3,16.2,0.7,1.2,9.5,23.5,,0.1,0.1,0.3,0.093,,-1,-0.7,-1.7,0
126,Kenneth Faried\farieke01,PF,29,BRK,3,15,20,0.8,0,0,7.4,20.4,14.2,0,3.3,0,28.6,20.1,,0,0,0,0.055,,-4.2,-2.7,-6.9,0
127,Derrick Favors\favorde01,C,27,UTA,6,134,15.3,0.545,0.184,0.408,15.6,21.4,18.6,2.3,1.1,4.1,16,21.7,,0.1,0.2,0.3,0.097,,-2.9,0.5,-2.4,0
128,Cristiano Felicio\feliccr01,C,26,CHI,5,108,11.6,0.598,0,0.526,9.2,20.7,15.1,3.8,1.3,0.8,17.6,11.5,,0.1,0,0.1,0.063,,-2.6,-0.9,-3.4,0
129,Raymond Felton\feltora01,PG,34,OKC,2,32,11.6,0.448,0.353,0.412,3,19.9,11,19.2,0,2.5,13,28.4,,0,0,0,-0.011,,-4.6,-0.9,-5.6,0
130,Terrance Ferguson\fergute01,SG,20,OKC,7,147,-0.4,0.322,0.583,0.083,3.3,4.3,3.8,2.6,1.3,0.6,22,8.6,,-0.3,0.1,-0.2,-0.05,,-6.6,1.3,-5.3,-0.1
131,Yogi Ferrell\ferreyo01,SG,25,SAC,8,133,10.4,0.517,0.419,0.233,1.6,8.4,5,7.2,1.7,0.6,7.8,15.8,,0.1,0.1,0.2,0.063,,-0.9,-1.8,-2.7,0
132,Dorian Finney-Smith\finnedo01,SF,25,DAL,8,201,10.1,0.6,0.592,0.122,6.4,8.4,7.3,4.1,1.6,1.6,13.4,12.3,,0.2,0.1,0.3,0.07,,-0.4,-0.5,-0.9,0.1
133,Bryn Forbes\forbebr01,PG,25,SAS,7,208,13,0.589,0.48,0.147,1,5.5,3.2,13.1,1.6,0,10.1,18.4,,0.3,0.1,0.4,0.092,,0.9,-2.3,-1.4,0
134,Evan Fournier\fournev01,SG,26,ORL,7,201,11.2,0.465,0.439,0.15,0.5,9.6,4.7,23.5,0.7,0,5.8,25.3,,-0.1,0.1,0,-0.001,,0.1,-3.3,-3.2,-0.1
135,De'Aaron Fox\foxde01,PG,21,SAC,9,293,19.7,0.579,0.193,0.546,2.8,11.4,7.2,31.6,2,1.2,16.9,24.8,,0.6,0.3,0.9,0.142,,2.4,-0.8,1.6,0.3
136,Tim Frazier\fraziti01,PG,28,NOP,5,88,8.7,0.595,0.611,0.167,2.3,10,6,19.1,1,0.9,23.7,11.5,,0.1,0,0.1,0.032,,0,-1.7,-1.7,0
137,Channing Frye\fryech01,C,35,CLE,1,21,7.2,0.625,0.5,0,0,23.6,10.9,6.5,0,0,0,8,,0,0,0,0.065,,-1.6,-3.7,-5.3,0
138,Markelle Fultz\fultzma01,SG,20,PHI,9,218,11.5,0.447,0.14,0.161,6,11.4,8.7,24.7,1.9,0.4,11.5,21.1,,-0.1,0.3,0.2,0.044,,-2.4,0,-2.4,0
139,Danilo Gallinari\gallida01,SF,30,LAC,8,237,22.2,0.622,0.357,0.42,4.8,16.8,11.3,7.3,1,1.3,5.7,24.8,,0.8,0.3,1.1,0.225,,4.8,-2.1,2.7,0.3
140,Langston Galloway\gallola01,SG,27,DET,6,134,5.3,0.446,0.677,0.194,0.8,9.1,4.7,4.1,0.7,0.6,2.9,10.8,,0,0.1,0.1,0.035,,-2.5,-0.7,-3.2,0
141,Marc Gasol\gasolma01,C,34,MEM,6,190,19.2,0.557,0.333,0.333,2.3,26.9,14.5,18.8,3.1,1.5,7.8,21.1,,0.2,0.5,0.7,0.178,,0.5,3.6,4.1,0.3
142,Pau Gasol\gasolpa01,C,38,SAS,7,121,21.5,0.614,0.152,0.364,8.7,31.2,19.5,25.1,0.4,4.1,13.6,15.8,,0.4,0.2,0.5,0.206,,1,3,4,0.2
143,Rudy Gay\gayru01,SF,32,SAS,7,205,16.7,0.589,0.175,0.138,5.1,27.4,15.8,10.4,2.1,1.6,16.7,21.4,,0.1,0.3,0.4,0.088,,-1.9,1.3,-0.6,0.1
144,Paul George\georgpa01,SF,28,OKC,7,248,16.6,0.504,0.455,0.315,1.9,19.2,10.1,15.7,3.2,2.3,12.4,29.6,,-0.1,0.5,0.4,0.077,,-0.4,2,1.7,0.2
145,Taj Gibson\gibsota01,PF,33,MIN,8,211,16.9,0.627,0.1,0.233,10.9,15.4,13.1,5.5,1.6,3.3,13.1,14.7,,0.4,0.1,0.5,0.108,,1,0.4,1.4,0.2
146,Harry Giles\gilesha01,PF,20,SAC,7,75,0.4,0.351,0.029,0.206,6.9,20.3,13.6,8.3,1.8,2.3,21.2,25.7,,-0.4,0.1,-0.3,-0.176,,-11,-0.5,-11.5,-0.2
147,Shai Gilgeous-Alexander\gilgesh01,PG,20,LAC,8,199,12.2,0.564,0.118,0.333,2.8,9.8,6.6,18.7,1.6,1.5,19.3,15.2,,0.1,0.2,0.4,0.085,,-0.2,0.6,0.4,0.1
148,Rudy Gobert\goberru01,C,26,UTA,7,238,26.8,0.756,0,0.734,12.7,31.5,22.3,5.3,2,6.2,15,17.7,,0.9,0.5,1.4,0.28,,2.6,5.1,7.7,0.6
149,Aaron Gordon\gordoaa01,PF,23,ORL,7,227,13.7,0.514,0.363,0.352,6.5,20.7,13.1,12.1,1.3,2.9,14.6,22.8,,-0.1,0.3,0.1,0.026,,-1.4,1.3,-0.1,0.1
150,Eric Gordon\gordoer01,SG,30,HOU,6,198,6.6,0.402,0.48,0.153,2.4,11.1,6.2,7,0.5,2,4.6,23,,-0.3,0,-0.3,-0.083,,-5.6,-2.8,-8.4,-0.3
151,Marcin Gortat\gortama01,C,34,LAC,8,133,9.6,0.486,0,0.44,11.1,22.7,17.3,11.7,0,3.3,23.2,12.2,,0,0.2,0.2,0.073,,-2,2.1,0.1,0.1
152,Devonte' Graham\grahade01,PG,23,CHO,2,19,10.7,0.583,0.5,0,0,11.3,5.6,22.2,0,0,14.3,15.7,,0,0,0,0.073,,-0.3,-3.9,-4.2,0
153,Treveon Graham\grahatr01,SG,25,BRK,2,27,-5.2,0,0.667,0,4.1,11.3,7.9,4.5,1.8,0,40,8,,-0.1,0,-0.1,-0.155,,-9.8,1.9,-7.9,0
154,Jerami Grant\grantje01,PF,24,OKC,7,202,9.5,0.474,0.393,0.464,4.3,13.1,8.5,6.1,1.1,4,10.6,14.7,,0,0.3,0.2,0.054,,-3.8,2.4,-1.4,0
155,Jerian Grant\grantje02,PG,26,ORL,7,145,5.6,0.384,0.361,0.111,3.2,9.6,6.2,17.5,2.6,0.6,22.6,14.1,,-0.3,0.1,-0.2,-0.054,,-5.4,1.3,-4.1,-0.1
156,Danny Green\greenda02,SG,31,TOR,8,249,13.2,0.632,0.723,0.077,2.6,12.5,7.9,6.5,1.7,2.6,8.2,12.3,,0.4,0.3,0.7,0.141,,2.2,2.4,4.6,0.4
157,Draymond Green\greendr01,PF,28,GSW,9,283,14.7,0.551,0.344,0.262,3.4,20.6,12.7,29.7,3,2.3,29.2,14.3,,0.3,0.5,0.7,0.124,,0,3,3.1,0.4
158,Gerald Green\greenge01,SG,33,HOU,6,126,9.9,0.517,0.787,0.064,3.7,12.6,7.6,4.8,1.1,0.6,7.6,17.2,,0,0,0,0.014,,-1.5,-2.6,-4.1,-0.1
159,JaMychal Green\greenja01,PF,28,MEM,2,39,14.7,0.472,0.133,0.133,11.4,23.3,17.2,17.2,5.1,0,20.1,22.8,,-0.1,0.1,0.1,0.065,,-3.7,4.3,0.7,0
160,Jeff Green\greenje02,PF,32,WAS,7,183,11.4,0.551,0.357,0.304,4.4,16.5,10.4,8.2,1,2.2,15.9,17.2,,0,0.1,0.1,0.02,,-2.4,-0.1,-2.4,0
161,Blake Griffin\griffbl01,PF,29,DET,7,255,24.4,0.601,0.287,0.382,5.6,26.1,15.4,21.4,0.6,1.7,12.2,29.7,,0.7,0.3,1,0.191,,5,0.6,5.6,0.5
162,Tim Hardaway\hardati02,SG,26,NYK,8,267,20.6,0.58,0.456,0.275,1.2,9,4.9,17.3,1.3,0,8.7,31,,0.6,0.1,0.8,0.141,,6.1,-3.5,2.7,0.3
163,James Harden\hardeja01,SG,29,HOU,4,144,26.1,0.607,0.43,0.43,2.6,17.9,9.2,46.2,2.6,1.1,17.6,32.9,,0.4,0.1,0.4,0.147,,7.1,0.1,7.2,0.3
164,Maurice Harkless\harklma01,SF,25,POR,5,88,11.1,0.503,0.444,0.111,3.9,21.9,13.8,7.2,1.1,5.2,9.6,10.1,,0.1,0.2,0.2,0.117,,-1.5,4.2,2.7,0.1
165,Montrezl Harrell\harremo01,C,25,LAC,8,158,23.8,0.679,0,0.709,3.6,22.2,13.6,10.1,2.1,6.6,14.3,22.3,,0.4,0.3,0.7,0.227,,1.6,3.8,5.3,0.3
166,Devin Harris\harride01,PG,35,DAL,1,6,-7.7,0,0.5,0,0,0,0,19.8,0,0,0,13.8,,0,0,0,-0.277,,-13.6,-8.3,-21.8,0
167,Gary Harris\harriga01,SG,24,DEN,8,266,18.8,0.551,0.303,0.262,2.9,9.7,6.3,16.2,1.6,1.6,4.9,22.6,,0.6,0.4,1,0.182,,1.4,0.4,1.8,0.3
168,Joe Harris\harrijo01,SG,27,BRK,8,243,13.3,0.681,0.56,0.107,3.2,10.9,7.2,11.9,0.8,0.3,16.9,16.7,,0.4,0.1,0.4,0.086,,1.5,-0.9,0.6,0.2
169,Tobias Harris\harrito02,PF,26,LAC,8,272,19.4,0.605,0.288,0.28,4.6,20.4,13.1,9,0.3,1.6,9.7,23.9,,0.5,0.3,0.9,0.152,,2.5,-1.3,1.2,0.2
170,Andrew Harrison\harrian01,PG,24,MEM,1,5,4.6,0.5,0.5,0,0,0,0,0,0,0,0,17.9,,0,0,0,0.009,,-4,-4.8,-8.8,0
171,Shaquille Harrison\harrish01,PG,25,CHI,3,36,21.4,0.564,0.313,0.625,9.2,14.8,12.1,31.8,2.7,0,12.8,28.4,,0.1,0,0.1,0.125,,4.8,-1.4,3.5,0
172,Josh Hart\hartjo01,SG,23,LAL,8,232,11.7,0.561,0.538,0.192,1.4,14,7.7,5.8,2.7,1,11.5,16.7,,0.1,0.2,0.2,0.049,,-0.5,-0.8,-1.3,0
173,Isaiah Hartenstein\harteis01,PF,20,HOU,5,34,12.1,0.615,0.25,0.5,5.5,3.6,4.7,17.3,1.4,4.6,17,14.4,,0.1,0,0.1,0.103,,-1.9,0.2,-1.7,0
174,Udonis Haslem\hasleud01,C,38,MIA,1,4,-45.1,0,1,0,0,25.8,12.9,0,0,0,50,40.4,,-0.1,0,-0.1,-1.103,,-35.6,-6,-41.6,0
175,Gordon Hayward\haywago01,SF,28,BOS,7,174,13.4,0.522,0.386,0.186,3.9,16.6,10.2,14,1.9,0.5,11.7,21.1,,0,0.4,0.4,0.112,,-1,2.4,1.4,0.2
176,John Henson\hensojo01,C,28,MIL,8,121,17.6,0.517,0.357,0.238,11.8,30.1,22,6.5,2.3,6,14.7,18.5,,0,0.4,0.4,0.173,,-2,5.6,3.6,0.2
177,Juan Hernangomez\hernaju01,PF,23,DEN,7,123,15.1,0.641,0.625,0.219,7.1,16.6,11.8,3.3,1.6,2.8,10.2,13.3,,0.2,0.2,0.5,0.176,,0.1,1.6,1.7,0.1
178,Willy Hernangomez\hernawi01,C,24,CHO,8,109,19,0.614,0.176,0.559,16.3,24.6,20.4,6.4,1.8,1.6,17.5,20,,0.2,0.2,0.4,0.172,,0.9,-0.4,0.5,0.1
179,Mario Hezonja\hezonma01,SF,23,NYK,8,145,6.7,0.422,0.405,0.114,0.7,19,9.3,10,1.7,0,11.7,27.3,,-0.4,0.1,-0.3,-0.1,,-4.9,-2.1,-7.1,-0.2
180,Buddy Hield\hieldbu01,SG,25,SAC,9,290,17.5,0.637,0.346,0.169,2.5,16.5,9.5,11.9,0.8,1.8,14.7,23.1,,0.4,0.3,0.7,0.117,,2.1,-1.3,0.8,0.2
181,George Hill\hillge01,PG,32,CLE,8,204,16.5,0.642,0.264,0.208,4.2,3.6,3.9,15.3,1.4,0.4,12.3,18.5,,0.5,-0.1,0.4,0.105,,3.2,-4.4,-1.2,0
182,Solomon Hill\hillso01,SF,27,NOP,8,142,5.1,0.358,0.483,0.138,1.5,11.6,6.4,11.2,1.9,1.8,14,10.1,,-0.1,0,-0.1,-0.028,,-3.2,0.9,-2.3,0
183,Aaron Holiday\holidaa01,PG,22,IND,5,16,-3.7,0.417,0.667,0,0,7.1,3.6,16,0,0,33.3,25,,-0.1,0,-0.1,-0.237,,-9.3,-3.8,-13.1,0
184,Jrue Holiday\holidjr01,SG,28,NOP,8,282,16.2,0.516,0.319,0.345,2.2,10.1,6,30.7,2.4,1.2,15.8,22.5,,0.3,0.1,0.4,0.064,,1.3,-0.9,0.4,0.2
185,Justin Holiday\holidju01,SG,29,CHI,8,274,12.5,0.585,0.724,0.105,1.2,10.9,6.1,10.2,1.9,1,4.8,13.3,,0.4,0,0.4,0.069,,2,-0.9,1.1,0.2
186,John Holland\hollajo02,SF,30,CLE,1,1,0,,,,0,0,0,0,0,0,,0,,0,0,0,-0.041,,-5.1,-1.9,-7,0
187,Rondae Hollis-Jefferson\holliro01,SF,24,BRK,5,107,10.6,0.408,0.08,0.12,4.1,24.8,14.9,7.4,1.4,2.7,5.4,22.4,,-0.2,0.1,0,-0.022,,-7.8,0.5,-7.3,-0.1
188,Richaun Holmes\holmeri01,C,25,PHO,6,26,13.1,0.532,0,2,16.8,22.8,19.7,10.3,1.8,3.1,21,7.9,,0,0,0.1,0.11,,-1.5,2.2,0.7,0
189,Rodney Hood\hoodro01,SG,26,CLE,8,222,14.5,0.511,0.234,0.234,1.9,10,5.7,11.8,2.2,0.4,3.7,20.4,,0.3,0,0.3,0.072,,0.4,-3.3,-2.9,-0.1
190,Al Horford\horfoal01,C,32,BOS,8,236,15.2,0.526,0.483,0.161,6.2,16.1,11.1,22.2,1,3.9,14.7,19.8,,0.1,0.6,0.7,0.144,,0.4,4.4,4.8,0.4
191,Kevin Huerter\huertke01,SG,20,ATL,8,112,13.8,0.606,0.633,0.167,5.4,21.1,13.1,12.7,1.2,1.4,13.4,13.5,,0.1,0.1,0.2,0.101,,-1.6,-0.2,-1.8,0
192,Chandler Hutchison\hutchch01,SF,22,CHI,7,132,5.9,0.442,0.28,0.4,4.2,17,10.7,3,1.1,1.3,12,11,,-0.1,0,-0.1,-0.03,,-4.8,-0.9,-5.7,-0.1
193,Serge Ibaka\ibakase01,C,29,TOR,8,225,18.8,0.577,0.184,0.272,10.7,17.2,14.2,5.2,1,4.3,13.5,24.8,,0.3,0.3,0.6,0.127,,-0.6,0.8,0.2,0.1
194,Andre Iguodala\iguodan01,SF,35,GSW,8,151,8.4,0.484,0.409,0.182,2.4,10.8,7,13.8,1.9,3.7,22.8,8.6,,0,0.2,0.2,0.065,,-1.6,2.1,0.5,0.1
195,Ersan Ilyasova\ilyaser01,PF,31,MIL,8,187,15.4,0.62,0.426,0.241,7.6,18.5,13.7,7.8,1.5,1.3,9.1,14.4,,0.4,0.4,0.8,0.209,,2,2.7,4.7,0.3
196,Joe Ingles\inglejo01,SF,31,UTA,7,234,13.4,0.594,0.58,0.111,1,16,8.7,19.2,2.4,0.3,19.1,19,,0.1,0.3,0.4,0.087,,0.9,1.9,2.8,0.3
197,Brandon Ingram\ingrabr01,SG,21,LAL,4,113,13.8,0.539,0.193,0.281,5.6,9.3,7.5,4.8,1.6,3.4,14.7,26.9,,-0.1,0.1,0,-0.004,,-3.5,-2.6,-6.1,-0.1
198,Kyrie Irving\irvinky01,PG,26,BOS,8,255,17,0.537,0.39,0.187,2.3,12.1,7.2,30.7,1.3,1.6,12.5,25.6,,0.2,0.6,0.8,0.141,,2.1,1.8,3.9,0.4
199,Jonathan Isaac\isaacjo01,SF,21,ORL,7,164,12.2,0.511,0.367,0.224,5.6,20.8,12.7,3.7,1.8,4.1,10,15.3,,0,0.2,0.2,0.061,,-3.3,2.1,-1.2,0
200,Wesley Iwundu\iwundwe01,SF,24,ORL,3,45,8.3,0.396,0.2,0.45,10.3,14.2,12.1,0,1.1,0,4,23.3,,-0.1,0,0,-0.037,,-7,-6.3,-13.3,-0.1
201,Frank Jackson\jacksfr01,PG,20,NOP,6,87,7.2,0.473,0.438,0.281,0,5,2.4,7.1,1,0,2.7,17,,0,0,0,0.005,,-1.5,-4,-5.6,-0.1
202,Jaren Jackson\jacksja02,C,19,MEM,6,136,16.7,0.546,0.241,0.389,6.5,19.2,12.8,10.4,2.5,4.1,10,23.1,,0.1,0.3,0.4,0.148,,-1.6,2.9,1.3,0.1
203,Josh Jackson\jacksjo02,SG,21,PHO,7,161,-0.4,0.409,0.35,0.183,0,8.8,4.2,14.3,1.5,2.5,27,23.9,,-0.8,0,-0.8,-0.228,,-10,-1.7,-11.7,-0.4
204,Justin Jackson\jacksju01,SF,23,SAC,9,238,8.1,0.45,0.484,0.172,1.7,12,6.9,8.8,1.1,0.7,4.2,12.4,,0,0.2,0.2,0.045,,-1.3,-0.8,-2.1,0
205,Reggie Jackson\jacksre01,PG,28,DET,7,213,12.7,0.504,0.49,0.327,2.4,7.3,4.7,18.1,0.5,0.4,8.2,24,,0.2,0.1,0.4,0.081,,1.1,-3,-1.8,0
206,LeBron James\jamesle01,PF,34,LAL,8,291,27,0.597,0.277,0.384,2.9,21.9,12.5,31.6,2.7,1.1,12.3,29.5,,0.9,0.3,1.2,0.199,,5.5,0.5,6,0.6
207,Jonas Jerebko\jerebjo01,PF,31,GSW,9,148,16.9,0.683,0.561,0.366,5.7,22.1,14.6,11.4,1.9,0.6,11.2,15.3,,0.4,0.2,0.6,0.203,,3.7,-0.4,3.3,0.2
208,Alize Johnson\johnsal02,PF,22,IND,3,9,0.5,0.347,0,1,0,50.6,25.9,0,0,0,0,14.2,,0,0,0,-0.024,,-13.1,-5.4,-18.6,0
209,Amir Johnson\johnsam01,C,31,PHI,9,105,16.9,0.703,0.071,0.5,7.7,25.5,16.6,17.3,0.9,2.2,24.4,17.6,,0.2,0.2,0.3,0.149,,-1,1.6,0.6,0.1
210,Stanley Johnson\johnsst04,SF,22,DET,6,169,6.5,0.488,0.596,0.106,3.6,15.7,9.4,9.2,1.1,0.5,20.9,15.4,,-0.2,0.2,0,0,,-2.9,0.3,-2.6,0
211,Tyler Johnson\johnsty01,PG,26,MIA,7,168,10.8,0.482,0.463,0.259,1.8,7.4,4.6,12.8,2.5,1.5,9.1,15.9,,0,0.2,0.2,0.066,,-0.8,1.7,1,0.1
212,Wesley Johnson\johnswe01,SF,31,NOP,2,25,8.5,0.654,0.667,0.333,0,8.8,4.2,0,3.6,3.3,22.5,14.2,,0,0,0,0.017,,-1.5,0.1,-1.4,0
213,Nikola Jokic\jokicni01,C,23,DEN,8,237,29.7,0.655,0.263,0.444,7.8,28.5,18.2,34.9,2.1,3.7,15.1,24.7,,1,0.5,1.6,0.318,,6.4,5.6,12,0.8
214,Damian Jones\jonesda03,C,23,GSW,9,146,18.1,0.735,0,0.419,9.9,7,8.3,9.3,1.9,7,12,12,,0.4,0.2,0.6,0.205,,3.3,3.1,6.3,0.3
215,Derrick Jones\jonesde02,SF,21,MIA,4,76,11.1,0.489,0.281,0.344,8.1,6.8,7.5,8,1.2,2.1,9.8,21.7,,0,0.1,0.1,0.054,,-1.2,-0.1,-1.3,0
216,Tyus Jones\jonesty01,PG,22,MIN,7,126,10.7,0.439,0.404,0.043,0.8,5.8,3.3,18.4,3,0.6,5.9,16.5,,0,0,0,0.015,,-1.3,-2.2,-3.5,0
217,DeAndre Jordan\jordade01,C,30,DAL,8,271,20.8,0.724,0,0.557,11.5,39.9,24.9,11.2,0.9,4,21.7,14.8,,0.7,0.3,1,0.177,,-0.5,3,2.5,0.3
218,Cory Joseph\josepco01,PG,27,IND,8,197,13.9,0.603,0.313,0.083,0.6,14.5,7.7,18.9,2,1.3,15.3,13.3,,0.3,0.3,0.5,0.132,,0.4,1.9,2.2,0.2
219,Frank Kaminsky\kaminfr01,PF,25,CHO,3,17,-3.4,0.286,0.429,0,0,19,9.4,15.7,0,0,22.2,22.5,,-0.1,0,-0.1,-0.253,,-10.8,-2.8,-13.7,-0.1
220,Enes Kanter\kanteen01,C,26,NYK,8,212,20.3,0.562,0.032,0.181,14,32,22.5,14.3,1.1,0.8,15.8,24,,0.3,0.3,0.5,0.122,,0.8,1,1.8,0.2
221,Luke Kennard\kennalu01,SG,22,DET,3,43,16.5,0.708,0.167,0,0,12.9,6.2,11.1,1.1,2,7.7,12.7,,0.1,0,0.1,0.167,,0.3,0.3,0.6,0
222,Michael Kidd-Gilchrist\kiddgmi01,PF,25,CHO,9,198,17,0.555,0.091,0.364,10.6,19,14.7,10.1,0.7,5.3,9.5,18.2,,0.4,0.2,0.6,0.149,,0.2,1.8,2,0.2
223,Maxi Kleber\klebima01,PF,27,DAL,8,156,16,0.63,0.619,0.262,6.9,19.2,12.7,2.7,0.9,6.9,11.4,14,,0.2,0.2,0.4,0.118,,-0.9,1.2,0.2,0.1
224,Kevin Knox\knoxke01,PF,19,NYK,3,56,8,0.422,0.29,0.161,5.5,6.2,5.8,0,1.7,1.6,5.7,26.5,,-0.1,0,-0.1,-0.067,,-5.1,-5,-10.1,-0.1
225,Furkan Korkmaz\korkmfu01,SG,21,PHI,5,26,3.7,0.4,0.6,0,0,19.1,9.6,0,1.8,0,0,7.8,,0,0,0,0.032,,-6.8,-1.7,-8.5,0
226,Luke Kornet\kornelu01,PF,23,NYK,3,11,-2.5,0,1,0,0,0,0,22.1,0,0,50,7.7,,0,0,0,-0.151,,-10.2,-6.2,-16.5,0
227,Kyle Korver\korveky01,PF,37,CLE,7,109,7.1,0.607,0.64,0.2,0,11.4,5.2,11.5,0.9,0,22.7,13.6,,0,0,0,-0.011,,-1.6,-4,-5.5,-0.1
228,Kosta Koufos\koufoko01,C,29,SAC,3,36,22.8,0.643,0,0,5.7,31.1,18.5,3.9,2.5,4.7,0,15.9,,0.1,0.1,0.2,0.231,,0.1,1.4,1.4,0
229,Rodions Kurucs\kurucro01,SF,20,BRK,3,43,15.3,0.626,0.526,0.211,10.3,19,14.8,3.8,0,0,19.4,25.8,,0,0,0,0.042,,-1.4,-4.7,-6.1,0
230,Kyle Kuzma\kuzmaky01,SF,23,LAL,8,257,15.9,0.555,0.364,0.171,2.5,13.8,8.2,7.4,0.4,1.8,4.8,23,,0.4,0.1,0.4,0.08,,0.2,-3.6,-3.4,-0.1
231,Skal Labissiere\labissk01,PF,22,SAC,4,21,12.4,0.619,0.5,0.25,4.9,29,17.1,6.2,0,0,18.4,21.2,,0,0,0,0.081,,-1.7,-4,-5.7,0
232,Jeremy Lamb\lambje01,SG,26,CHO,9,222,14.7,0.513,0.389,0.189,2.8,15.5,9.1,8.9,2.2,2,3,19.3,,0.2,0.3,0.5,0.112,,0.4,0.1,0.5,0.1
233,Zach LaVine\lavinza01,SG,23,CHI,8,269,22.5,0.627,0.327,0.392,0.8,15.1,8.1,19.9,1.1,1.6,14.7,34.1,,0.5,0,0.5,0.086,,3.9,-2.9,1,0.2
234,Jake Layman\laymaja01,SF,24,POR,8,102,13.9,0.693,0.5,0.071,3.3,9,6.5,4.1,0.9,2.3,12.2,13.7,,0.2,0.1,0.3,0.133,,1.8,0.1,1.9,0.1
235,T.J. Leaf\leaftj01,PF,21,IND,4,23,-10.2,0,0.25,0,10.4,9.9,10.1,9.6,0,3.8,20,19.3,,-0.2,0,-0.2,-0.369,,-14.8,0.7,-14.1,-0.1
236,Damion Lee\leeda03,SG,26,GSW,1,2,-45.7,0,0.5,0,0,0,0,0,0,0,0,42.1,,0,0,0,-0.989,,-33,-13.8,-46.8,0
237,Alex Len\lenal01,C,25,ATL,8,188,14.9,0.594,0.213,0.361,7.4,18,12.7,10.7,0.7,4.3,15.5,18.1,,0.2,0.2,0.3,0.085,,-2.9,0.9,-2,0
238,Kawhi Leonard\leonaka01,SF,27,TOR,6,208,26.9,0.61,0.227,0.294,3.2,19.1,11.6,14.5,2.7,1.2,6.3,28.9,,0.7,0.4,1.1,0.254,,4.5,1.1,5.6,0.4
239,Meyers Leonard\leoname01,C,26,POR,5,42,8.4,0.601,0.571,0.429,5.4,19.7,13.3,12,2.3,0,32.5,12.4,,0,0.1,0.1,0.08,,-1.1,2.1,1,0
240,Jon Leuer\leuerjo01,PF,29,DET,1,6,23.7,0.694,0.5,1,0,18.5,8.8,0,0,0,0,20.1,,0,0,0,0.294,,1.8,-6.9,-5.1,0
241,Caris LeVert\leverca01,SF,24,BRK,8,256,17.3,0.561,0.3,0.275,2.6,12.4,7.7,25,1.5,0.6,13.5,26.1,,0.3,0.1,0.5,0.09,,0.9,-0.7,0.2,0.1
242,Damian Lillard\lillada01,PG,28,POR,8,271,29.9,0.66,0.408,0.456,2.9,11.5,7.7,29.7,0.9,0.6,10.2,30.7,,1.5,0.3,1.8,0.317,,10.2,-1.3,8.9,0.7
243,Jeremy Lin\linje01,PG,30,ATL,8,126,9.8,0.531,0.412,0.412,0,13,6.4,20.6,1.1,0.6,19.9,24.3,,-0.1,0.1,-0.1,-0.025,,-5.1,-2.8,-7.9,-0.2
244,Shaun Livingston\livinsh01,PG,33,GSW,4,57,16.8,0.619,0,0.25,14.7,12.6,13.6,8.6,2.5,0,14.5,15.3,,0.1,0.1,0.2,0.173,,1.9,-0.6,1.3,0
245,Zach Lofton\loftoza01,SG,26,DET,1,4,-9.8,0,1,0,0,0,0,0,12,0,50,20.9,,0,0,0,-0.429,,-15.4,8.2,-7.2,0
246,Kevon Looney\looneke01,C,22,GSW,9,151,18.2,0.683,0,0.343,15.9,14.2,15,11.3,0.9,3.1,14.8,13.2,,0.5,0.1,0.7,0.207,,3.5,0.6,4.1,0.2
247,Brook Lopez\lopezbr01,C,30,MIL,8,203,12.8,0.615,0.691,0.147,1.6,9,5.7,5.9,0.5,4.8,11.1,16.5,,0.2,0.4,0.6,0.145,,1,2.4,3.4,0.3
248,Robin Lopez\lopezro01,C,30,CHI,3,53,2.2,0.442,0,0.083,2.1,6,4.1,17.9,0.9,3.3,32.5,15.2,,-0.1,0,-0.1,-0.12,,-7.7,-1,-8.7,-0.1
249,Kevin Love\loveke01,PF,30,CLE,4,136,15.6,0.478,0.369,0.508,7.8,40.1,22.7,15.2,0.4,0.6,11.2,27.7,,0.1,0,0.1,0.034,,-1.5,-3.2,-4.7,-0.1
250,Kyle Lowry\lowryky01,PG,32,TOR,8,279,23.2,0.65,0.515,0.287,1.2,9.7,5.7,43.5,1.9,1.5,16.8,20.6,,1.1,0.3,1.4,0.241,,6.1,-0.6,5.6,0.5
251,Jordan Loyd\loydjo01,PG,25,TOR,1,2,19.3,,,,54.9,0,25.7,0,0,0,,0,,0,0,0,0.279,,6.9,-3.5,3.4,0
252,Timothe Luwawu-Cabarrot\luwawti01,SF,23,OKC,2,3,-26,0,0.5,0,0,35.3,16.8,0,0,0,0,26.3,,0,0,0,-0.548,,-25.1,-8.4,-33.5,0
253,Tyler Lydon\lydonty01,PF,22,DEN,3,8,16,0.798,0,2,13.6,0,6.7,0,0,0,0,9.9,,0,0,0,0.223,,1.8,-3.5,-1.7,0
